CODE,DOMES_Number,Site_Name,Plate,Technique,Longitude_deg,Latitude_deg,Ve_mm_yr,Vn_mm_yr,Se_mm_yr,Sn_mm_yr,Re_mm_yr,Rn_mm_yr
GRAF,31327M001,Grafcan - teneri,Nubia,P,343.732,28.454,16.02,17.27,0.280,0.271,-0.252,0.171
MAS1,31303M002,Maspalomas,Nubia,P,344.367,27.764,16.54,17.21,0.034,0.032,-0.020,0.019
ELDA,30329M001,East london,Nubia,P,27.833,-33.037,15.23,18.19,0.160,0.155,-0.262,0.019
FUER,31330M001,Fuerteventura,Nubia,P,346.140,28.499,16.33,17.42,0.176,0.158,-0.255,0.021
PLBA,30330M001,Port elizabeth,Nubia,P,25.611,-33.984,15.79,18.55,0.266,0.259,0.185,0.160
WIND,31101M001,Windhoek,Nubia,P,17.089,-22.575,20.02,19.26,0.084,0.074,0.326,0.285
JCTW,30305M001,Le cap i,Nubia,P,18.469,-33.951,16.75,18.12,0.199,0.194,-0.152,-0.781
DATG,34107M002,Dakar - plateau,Nubia,P,342.580,14.676,19.26,16.73,0.755,0.633,-0.603,-0.345
DAKA,34101S004,Dakar,Nubia,DP,342.567,14.732,19.72,17.51,2.537,1.130,-0.129,0.434
SALB,39601S002,Palmeira - cape,Nubia,P,337.065,16.732,19.23,16.08,0.688,0.548,0.280,-0.145
KWJ1,50506M001,Kwajalein atoll,Pacific,P,167.730,8.722,-69.06,29.50,0.258,0.197,0.061,0.530
HILO,49979S001,Hilo airport,Pacific,P,204.947,19.719,-62.59,35.38,0.090,0.080,-0.362,0.640
LHUE,49980S001,Lihue kauai,Pacific,P,200.661,21.985,-61.71,34.47,0.175,0.164,0.491,-0.328
MAUI,40445S008,Maui,Pacific,LP,203.743,20.707,-62.05,34.59,0.028,0.025,0.043,-0.208
KOK1,49896S001,Kokole point,Pacific,P,200.242,21.983,-62.18,35.36,0.808,0.673,0.118,0.569
UPO1,49895S001,Upolu point,Pacific,P,204.116,20.246,-62.65,34.79,0.846,0.713,-0.468,0.025
CKIS,50213M003,Rarotonga,Pacific,P,200.199,-21.201,-62.62,34.95,0.067,0.058,-0.577,0.500
CHAT,50207M001,Chatham island,Pacific,DP,183.434,-43.956,-40.66,32.94,0.043,0.048,0.397,0.473
MCIL,21789S001,Minamitorishima,Pacific,P,153.979,24.290,-71.63,23.67,0.057,0.057,-0.147,0.042
POHN,51601M001,Pohnpei,Pacific,P,158.210,6.960,-70.19,24.89,0.328,0.275,-0.787,-0.550
